Timestamp;Test mode;Model;Process_time(s);Accuracy (%);Num Epochs
2025-07-17/17:44:44;def-few;gemma3n_e2b_it;112.00389729999917;88.24;
2025-07-18/14:19:18;zero;gemma3_1b;54.647289000000455;91.18;
2025-07-21/11:15:39;paraph;gemma3_1b;413.1176975999997;90.2;
2025-07-21/11:18:04;zero;gemma3_1b;58.36053040000024;90.2;
2025-07-21/11:30:21;paraph;gemma3_1b;416.4934815000006;91.18;
2025-07-21/11:42:18;paraph;gemma3_1b_trained;504.6963677999993;96.08;
2025-07-21/11:44:03;zero;gemma3_1b_trained;71.86808330000076;97.06;
2025-07-21/11:56:43;zero;gemma3_1b;55.16623339999933;91.18;
2025-07-21/12:03:56;paraph;gemma3_1b;410.9753413999997;88.24;
2025-07-21/12:05:29;zero;gemma3_1b_trained;73.06261079999967;98.04;
2025-07-21/12:14:18;paraph;gemma3_1b_trained;506.7141540000002;96.08;
2025-07-21/12:15:50;zero;gemma2;56.72234250000111;91.18;
2025-07-21/12:23:17;paraph;gemma2;422.9270000999986;91.18;
2025-07-21/12:24:39;zero;gemma2_trained;58.25277439999991;94.12;
2025-07-21/12:32:17;paraph;gemma2_trained;434.1072602999993;94.12;
2025-07-21/12:35:23;zero;gemma3n_e2b_it;143.66986779999934;90.2;
2025-07-21/13:42:06;zero;gemma3_1b;54.7293899999986;91.18;
2025-07-21/13:49:21;paraph;gemma3_1b;412.37644399999954;90.2;
2025-07-21/13:50:52;zero;gemma3_1b_trained;71.79268020000018;96.08;
2025-07-21/13:59:39;paraph;gemma3_1b_trained;504.3000303000008;96.08;
2025-07-21/14:01:10;zero;gemma2;57.08580029999939;91.18;
2025-07-21/14:08:37;paraph;gemma2;421.8250849999986;91.18;
2025-07-21/14:09:58;zero;gemma2_trained;58.09922480000023;94.12;
2025-07-21/14:17:35;paraph;gemma2_trained;433.1503389999998;94.12;
2025-07-21/14:20:05;zero;gemma3n_e2b_it;107.08828509999876;92.16;
2025-07-21/18:20:06;paraph;gemma3n_e2b_it;529.4605574000016;88.24;
2025-07-21/18:29:32;paraph;gemma3n_e2b_it;503.1044167999971;88.24;
2025-07-21/18:46:48;paraph;gemma3n_e2b_it_trained;956.767694000002;93.14;
2025-07-21/18:58:08;paraph;gemma3n_e2b_it_trained;619.9033111000026;93.14;
2025-07-22/22:07:10;zero;gemma3_1b;55.75743430000148;91.18;
2025-07-22/22:16:17;zero;gemma3_1b_trained;74.27545689999533;91.18;7.0
2025-07-22/22:19:50;zero;gemma3_1b_trained;73.0469981999995;91.18;
2025-07-22/22:21:07;zero;gemma3_1b;53.66668849999405;91.18;
2025-07-22/22:25:24;zero;gemma3_1b_trained;71.5454635999995;94.12;
2025-07-22/22:27:34;zero;gemma3_1b_trained;70.51546950000193;93.14;
2025-07-22/22:34:06;zero;gemma3_1b_trained;71.26089420000062;94.12;
2025-07-22/22:40:36;zero;gemma3_1b_trained;74.15131079999992;93.14;
2025-07-22/22:42:04;zero;gemma3_1b;54.609249699999054;92.16;
2025-07-22/22:47:14;zero;gemma3_1b_trained;72.80822239999543;96.08;
2025-07-22/23:12:23;zero;gemma3_1b_trained;74.09755949999817;97.06;
2025-07-22/23:19:50;zero;gemma3_1b_trained;73.99416350000683;98.04;
2025-07-22/23:22:30;zero;gemma3_1b_trained;75.07942860000185;98.04;
2025-07-22/23:29:36;zero;gemma3_1b_trained;72.95284299999912;98.04;
2025-07-22/23:33:05;zero;gemma3_1b_trained;73.29055440000229;97.06;
2025-07-22/23:38:23;zero;gemma3_1b_trained;75.4453488999934;95.1;7.0
2025-07-22/23:46:32;zero;gemma3_1b_trained;73.64436810000188;95.1;
2025-07-22/23:48:10;zero;gemma3_1b_trained;72.85544669999945;95.1;
2025-07-22/23:50:16;zero;gemma3_1b_trained;73.42278380000062;94.12;
2025-07-22/23:51:54;zero;gemma3_1b_trained;72.54367800000182;93.14;
2025-07-22/23:57:08;zero;gemma3_1b_trained;73.5530976999944;96.08;
2025-07-23/00:07:15;zero;gemma3_1b_trained;77.75672530000156;82.35;
2025-07-23/00:09:03;zero;gemma3_1b_trained;77.12069769999653;86.27;
2025-07-23/00:13:18;zero;gemma3_1b_trained;88.54326759999822;83.33;
2025-07-23/00:21:01;zero;gemma3_1b_trained;77.71868019999965;83.33;
2025-07-23/00:25:27;zero;gemma3_1b_trained;72.22495799999888;96.08;
2025-07-23/00:29:51;zero;gemma3_1b_trained;76.53667349999887;84.31;4.0
2025-07-23/11:10:07;zero;gemma3_1b_trained;84.39952699999998;82.35;
2025-07-23/11:27:40;zero;gemma3_1b_trained_60;70.17392270000005;95.1;7.0
2025-07-23/11:48:14;zero;gemma3_1b_trained_60;71.9808909999997;94.12;7.0
2025-07-23/11:52:23;zero;gemma3_1b_trained_60;70.8638692999998;94.12;7.0
2025-07-23/11:55:21;zero;gemma3_1b_trained_60;71.10022900000013;95.1;7.0
2025-07-24/10:54:14;zero;gemma3_1b_trained_180;72.97896250000008;91.18;5.0
2025-07-24/10:56:04;zero;gemma3_1b_trained_180;70.35765509999999;92.16;5.0
2025-07-24/10:58:07;zero;gemma3_1b_trained_60;70.70976189999988;94.12;7.0
2025-07-24/11:07:19;zero;gemma3_1b_trained_60;71.67674420000003;92.16;7.0
2025-07-24/11:08:50;zero;gemma3_1b_trained_180;70.99572629999989;92.16;5.0
2025-07-24/11:15:27;zero;gemma3_1b_trained_240;73.56748199999993;94.12;4.0
2025-07-24/11:22:54;zero;gemma3_1b_trained_300;71.55200799999966;97.06;4.0
2025-07-24/11:31:21;zero;gemma3_1b_trained_360;71.0412679000001;94.12;4.0
2025-07-24/11:33:30;zero;gemma3_1b;53.6515145999997;92.16;
2025-07-24/11:39:10;zero;gemma3_1b;53.45149870000023;90.2;
2025-07-24/11:54:55;zero;gemma3_1b;54.49259350000011;91.18;
2025-07-24/11:56:33;zero;gemma3_1b_trained_60;69.59776819999934;95.1;7.0
2025-07-24/11:58:05;zero;gemma3_1b_trained_60;70.03567860000021;94.12;7.0
2025-07-24/12:01:56;zero;gemma3_1b_trained_60;70.61512930000026;96.08;7.0
2025-07-24/12:03:27;zero;gemma3_1b_trained_180;71.19609730000047;90.2;5.0
2025-07-24/12:05:02;zero;gemma3_1b_trained_240;74.71200779999981;92.16;4.0
2025-07-24/12:06:34;zero;gemma3_1b_trained_300;71.64849440000035;96.08;4.0
2025-07-24/12:08:06;zero;gemma3_1b_trained_360;71.61365430000023;95.1;4.0
2025-07-24/12:12:41;zero;gemma2_trained_60;61.41804449999927;94.12;6.0
2025-07-24/12:18:33;zero;gemma2_trained_180;61.548342899999625;95.1;4.0
2025-07-24/12:25:17;zero;gemma2_trained_240;60.51876790000006;92.16;4.0
2025-07-24/12:32:50;zero;gemma2_trained_300;61.83345250000002;93.14;4.0
2025-07-24/12:41:19;zero;gemma2_trained_360;62.04634249999981;94.12;4.0
2025-07-24/12:49:02;zero;gemma3n_e2b_it_trained_60;178.3255925000003;93.14;6.0
2025-07-24/13:04:49;zero;gemma3n_e2b_it_trained_180;468.40568039999926;97.06;5.0
2025-07-24/13:32:23;zero;gemma3n_e2b_it_trained_240;151.82907330000126;95.1;4.0
2025-07-24/14:01:53;zero;gemma3n_e2b_it_trained_300;151.0431434000002;97.06;4.0
2025-07-24/14:40:34;zero;gemma3n_e2b_it_trained_360;150.73538420000114;96.08;4.0
2025-07-24/16:08:06;zero;gemma3_1b_trained_60;70.98030319999816;94.12;7.0
